神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,首通奖励预览,通关奖励预览
63,19,109810,0,1,0,"[2]=109802,[3]=109803,[4]=109804,[5]=109805,[6]=109806,[8]=109808,[9]=109809,[10]=109810,[11]=109811,[12]=109812","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
64,19,109910,0,1,0,"[2]=109902,[3]=109903,[4]=109904,[5]=109905,[6]=109906,[8]=109908,[9]=109909,[10]=109910,[11]=109911,[12]=109912","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
65,20,110010,0,1,0,"[2]=110002,[3]=110003,[4]=110004,[5]=110005,[6]=110006,[8]=110008,[9]=110009,[10]=110010,[11]=110011,[12]=110012","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
66,20,50000003,0,1,0,[10]=110110,"{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
67,20,110210,0,1,0,"[2]=110202,[3]=110203,[4]=110204,[5]=110205,[6]=110206,[8]=110208,[9]=110209,[10]=110210,[11]=110211,[12]=110212","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
68,20,50000006,0,1,0,[10]=110310,"{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
69,20,110410,0,1,0,"[2]=110402,[3]=110403,[4]=110404,[5]=110405,[6]=110406,[8]=110408,[9]=110409,[10]=110410,[11]=110411,[12]=110412","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
70,20,50000003,0,1,0,[10]=110510,"{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图10,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
71,21,110610,0,1,0,"[2]=110602,[3]=110603,[4]=110604,[5]=110605,[6]=110606,[8]=110608,[9]=110609,[10]=110610,[11]=110611,[12]=110612","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
72,21,50000002,0,1,0,[10]=110710,"{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
73,21,110810,0,1,0,"[2]=110802,[3]=110803,[4]=110804,[5]=110805,[6]=110806,[8]=110808,[9]=110809,[10]=110810,[11]=110811,[12]=110812","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
74,21,50000004,0,1,0,[10]=110910,"{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
75,21,50000004,0,1,0,[10]=111010,"{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
76,21,50000005,0,1,0,[10]=111110,"{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图11,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
77,22,50000001,0,1,0,[10]=111210,"{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
78,22,111310,0,1,0,"[2]=111302,[3]=111303,[4]=111304,[5]=111305,[6]=111306,[8]=111308,[9]=111309,[10]=111310,[11]=111311,[12]=111312","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
79,22,50000006,0,1,0,[10]=111410,"{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
80,22,111510,0,1,0,"[2]=111502,[3]=111503,[4]=111504,[5]=111505,[6]=111506,[8]=111508,[9]=111509,[10]=111510,[11]=111511,[12]=111512","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
81,22,111610,0,1,0,"[2]=111602,[3]=111603,[4]=111604,[5]=111605,[6]=111606,[8]=111608,[9]=111609,[10]=111610,[11]=111611,[12]=111612","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
82,22,111710,0,1,0,"[2]=111702,[3]=111703,[4]=111704,[5]=111705,[6]=111706,[8]=111708,[9]=111709,[10]=111710,[11]=111711,[12]=111712","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,116}}",宝藏图12,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
83,23,50000006,0,1,0,[10]=111810,"{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
84,23,50000003,0,1,0,[10]=111910,"{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
85,23,112010,0,1,0,"[2]=112002,[3]=112003,[4]=112004,[5]=112005,[6]=112006,[8]=112008,[9]=112009,[10]=112010,[11]=112011,[12]=112012","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
86,23,112110,0,1,0,"[2]=112102,[3]=112103,[4]=112104,[5]=112105,[6]=112106,[8]=112108,[9]=112109,[10]=112110,[11]=112111,[12]=112112","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
87,23,50000003,0,1,0,[10]=112210,"{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
88,23,112310,0,1,0,"[2]=112302,[3]=112303,[4]=112304,[5]=112305,[6]=112306,[8]=112308,[9]=112309,[10]=112310,[11]=112311,[12]=112312","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图13,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
89,24,112410,0,1,0,"[2]=112402,[3]=112403,[4]=112404,[5]=112405,[6]=112406,[8]=112408,[9]=112409,[10]=112410,[11]=112411,[12]=112412","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
90,24,112510,0,1,0,"[2]=112502,[3]=112503,[4]=112504,[5]=112505,[6]=112506,[8]=112508,[9]=112509,[10]=112510,[11]=112511,[12]=112512","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
91,24,112610,0,1,0,"[2]=112602,[3]=112603,[4]=112604,[5]=112605,[6]=112606,[8]=112608,[9]=112609,[10]=112610,[11]=112611,[12]=112612","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
92,24,50000002,0,1,0,[10]=112710,"{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
93,24,112810,0,1,0,"[2]=112802,[3]=112803,[4]=112804,[5]=112805,[6]=112806,[8]=112808,[9]=112809,[10]=112810,[11]=112811,[12]=112812","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
94,24,112910,0,1,0,"[2]=112902,[3]=112903,[4]=112904,[5]=112905,[6]=112906,[8]=112908,[9]=112909,[10]=112910,[11]=112911,[12]=112912","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图14,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
95,25,50000002,0,1,0,[10]=113010,"{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
96,25,113110,0,1,0,"[2]=113102,[3]=113103,[4]=113104,[5]=113105,[6]=113106,[8]=113108,[9]=113109,[10]=113110,[11]=113111,[12]=113112","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
97,25,113210,0,1,0,"[2]=113202,[3]=113203,[4]=113204,[5]=113205,[6]=113206,[8]=113208,[9]=113209,[10]=113210,[11]=113211,[12]=113212","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
98,25,113310,0,1,0,"[2]=113302,[3]=113303,[4]=113304,[5]=113305,[6]=113306,[8]=113308,[9]=113309,[10]=113310,[11]=113311,[12]=113312","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
99,25,113410,0,1,0,"[2]=113402,[3]=113403,[4]=113404,[5]=113405,[6]=113406,[8]=113408,[9]=113409,[10]=113410,[11]=113411,[12]=113412","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
100,25,113510,0,1,0,"[2]=113502,[3]=113503,[4]=113504,[5]=113505,[6]=113506,[8]=113508,[9]=113509,[10]=113510,[11]=113511,[12]=113512","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",200013,167}}",宝藏图15,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
101,26,113610,132,1,0,"[2]=113602,[3]=113603,[4]=113604,[5]=113605,[6]=113606,[8]=113608,[9]=113609,[10]=113610,[11]=113611,[12]=113612","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
102,26,50000004,132,1,0,[10]=113710,"{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
103,26,113810,132,1,0,"[2]=113802,[3]=113803,[4]=113804,[5]=113805,[6]=113806,[8]=113808,[9]=113809,[10]=113810,[11]=113811,[12]=113812","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
104,26,113910,132,1,0,"[2]=113902,[3]=113903,[4]=113904,[5]=113905,[6]=113906,[8]=113908,[9]=113909,[10]=113910,[11]=113911,[12]=113912","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
105,26,114010,132,1,0,"[2]=114002,[3]=114003,[4]=114004,[5]=114005,[6]=114006,[8]=114008,[9]=114009,[10]=114010,[11]=114011,[12]=114012","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
106,26,114110,132,1,0,"[2]=114102,[3]=114103,[4]=114104,[5]=114105,[6]=114106,[8]=114108,[9]=114109,[10]=114110,[11]=114111,[12]=114112","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图16,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
107,27,50000003,132,1,0,[10]=114210,"{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
108,27,50000006,132,1,0,[10]=114310,"{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
109,27,114410,132,1,0,"[2]=114402,[3]=114403,[4]=114404,[5]=114405,[6]=114406,[8]=114408,[9]=114409,[10]=114410,[11]=114411,[12]=114412","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
110,27,114510,132,1,0,"[2]=114502,[3]=114503,[4]=114504,[5]=114505,[6]=114506,[8]=114508,[9]=114509,[10]=114510,[11]=114511,[12]=114512","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
111,27,114610,132,1,0,"[2]=114602,[3]=114603,[4]=114604,[5]=114605,[6]=114606,[8]=114608,[9]=114609,[10]=114610,[11]=114611,[12]=114612","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
112,27,114710,132,1,0,"[2]=114702,[3]=114703,[4]=114704,[5]=114705,[6]=114706,[8]=114708,[9]=114709,[10]=114710,[11]=114711,[12]=114712","{""exp"",860000},{""funds"",51000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",7600000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11200000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图17,"{60056, 100}","{60061,860000},{60055,51000},{20013,2}"
113,28,114810,132,1,0,"[2]=114802,[3]=114803,[4]=114804,[5]=114805,[6]=114806,[8]=114808,[9]=114809,[10]=114810,[11]=114811,[12]=114812","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图18,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
114,28,50000005,132,1,0,[10]=114910,"{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图18,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
115,28,115010,132,1,0,"[2]=115002,[3]=115003,[4]=115004,[5]=115005,[6]=115006,[8]=115008,[9]=115009,[10]=115010,[11]=115011,[12]=115012","{""exp"",860000},{""funds"",52000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1200}, {""item"",20013,88}, {""exp"",8000000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",11800000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",200013,206}}",宝藏图18,"{60056, 100}","{60061,860000},{60055,52000},{20013,2}"
