生死劫索引,怪物entryId,说明,等级（要求）,能否组队,宝箱,开启宝箱消耗,怪物列表,怪物列表,怪物列表,掉落库,劫索引,劫名称,几率掉落展示,宝箱奖励,首通奖励展示,领取宝箱后固定物品显示
31,171010,第6劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
32,171010,第6劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
33,171010,第6劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
34,171010,第6劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
35,171010,第6劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
36,171010,第7劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
37,171010,第7劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
38,171010,第7劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
39,171010,第7劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
40,171010,第7劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
41,171010,第7劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",7,第七劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
42,171010,第8劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
43,171010,第8劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
44,171010,第8劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
45,171010,第8劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
46,171010,第8劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
47,171010,第8劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",8,第八劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
48,171010,第9劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
49,171010,第9劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
50,171010,第9劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
51,171010,第9劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
52,171010,第9劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
53,171010,第9劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",9,第九劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
