玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
baoshi,158,,60003,3493,,,1852
baoshi,159,,60003,3494,,,1853
baoshi,160,,60003,3495,,,1854
baoshi,161,,60003,3496,,,1855
baoshi,162,,60003,3497,,,1856
baoshi,163,,60003,3498,,,1857
baoshi,164,,60003,3499,,,1858
baoshi,165,,60003,3500,,,1859
baoshi,166,,60003,3501,,,1860
baoshi,167,,60003,3502,,,1861
baoshi,168,,60003,3503,,,1862
baoshi,169,,60003,3504,,,1863
baoshi,170,,60003,3505,,,1864
baoshi,171,,60003,3506,,,1865
baoshi,172,,60003,3507,,,1866
baoshi,173,,60003,3508,,,1867
baoshi,174,,60003,3509,,,1868
baoshi,175,,60003,3510,,,1869
baoshi,176,,60003,3511,,,1870
baoshi,177,,60003,3512,,,1871
baoshi,178,,60003,3513,,,1872
baoshi,179,,60003,3514,,,1873
baoshi,180,,60003,3515,,,1874
baoshi,181,,60003,3516,,,1875
baoshi,182,,60003,3517,,,1876
baoshi,183,,60003,3518,,,1877
baoshi,184,,60003,3519,,,1878
baoshi,185,,60003,3520,,,1879
baoshi,186,,60003,3521,,,1880
baoshi,187,,60003,3522,,,1881
baoshi,188,,60003,3523,,,1882
baoshi,189,,60003,3524,,,1883
baoshi,190,,60003,3525,,,1884
baoshi,191,,60003,3526,,,1885
baoshi,192,,60003,3527,,,1886
baoshi,193,,60003,3528,,,1887
baoshi,194,,60003,3529,,,1888
baoshi,195,,60003,3530,,,1889
baoshi,196,,60003,3531,,,1890
baoshi,197,,60003,3532,,,1891
baoshi,198,,60003,3533,,,1892
baoshi,199,,60003,3534,,,1893
baoshi,200,,60003,3535,,,1894
